gene	lv1	lv2	rv1	rv2	genelength
Napb	58	72	326	599	3682
Mir134	0	0	0	0	70
Pcbd1	431	492	1161	1397	806
Snrpn	570	485	1706	2293	2366
4930511M11Rik	0	0	0	0	1669
Foxm1	1463	1437	7326	9444	4357
Pigt	1765	1872	8733	9290	2545
Tet2	307	489	3739	5520	9170
Gm813	0	0	0	0	698
Il6st	2373	2712	18067	19169	5435
Msl2	507	654	3013	3710	4921
Olfr114	0	0	0	0	938
Gm13305_2	0	0	0	0	1939
Pabpc1l	23	8	48	61	2340
1600029D21Rik	23	15	14	57	1842
Eftud2	2213	1938	8575	10393	3305
Krtap8-2	0	0	0	0	481
Pdia3	10323	9597	34735	40054	2629
Tspan17	48	56	224	273	1548
Vmp1	633	544	2121	2823	2761
Vmn1r119	0	0	0	0	923
Syn1	13	11	47	59	3200
2210019I11Rik	0	0	0	0	1436
Olfr434	0	0	0	0	965
Cadm4	37	41	253	352	2146
Klra21	0	0	0	0	1131
Gm6484	1	2	42	78	861
Gm6994	1	2	3	11	1157
9530091C08Rik	0	5	13	13	7976
2900011O08Rik	11	19	46	82	2349
Itpkb	461	553	3811	4113	5093
Olfr913	0	0	0	0	1273
Fam110b	251	291	826	855	1992
Gm6289	0	0	0	0	705
Sord	678	743	2367	2707	2250
Olfr524	0	0	0	0	956
2310034C09Rik	0	0	0	0	942
Rgs17	20	18	66	95	8184
Zfp300	8	9	29	56	4653
Fat1	1115	1815	15808	16641	14601
Pdcl	366	381	2154	2528	2854
Ptgdr	1	6	55	78	3185
Gigyf2	823	878	4917	5924	5714
Gm10714	0	0	1	4	870
Rab3gap1	915	965	4118	5454	4227
Dab2	1152	1290	6026	7510	4612
Zdhhc5	1737	1772	8308	9781	4728
Calu	5177	6047	27440	32601	3402
Casp2	508	511	2760	3411	3452
Gm14347	0	0	0	0	1959
Lmf2	1006	905	5129	5742	2892
Mir4660	0	0	0	0	83
Phip	534	696	4968	6362	10689
8030423F21Rik	4	4	16	19	2847
Tsga10	34	56	216	292	3380
Vmn1r8	0	0	0	0	1212
Poldip3	1467	1363	6238	7818	3240
Cmtm7	1062	858	3047	3308	1132
Slc9a2	0	0	6	14	3481
Iqsec1	3345	3895	17399	23031	6797
Plce1	297	329	2498	3000	9477
Baat1	318	338	1585	2238	3845
Gcnt4	16	19	76	128	5092
Tmtc2	142	147	837	982	5660
Eif2a	740	777	2965	4141	2285
Clcn7	421	446	2425	3316	4038
Ipo5	3826	3809	16461	19825	4567
Usp46	656	642	3352	4024	3216
Lrba	255	296	1493	1705	11450
Cldn23	3	0	0	8	1850
Npat	482	569	2181	2670	7329
Clec14a	300	357	3951	3187	4538
Erbb2	2564	2376	13456	16265	4971
Gm10664	733	764	997	1502	971
Pi4ka	1335	1421	7404	9052	6376
Mppe1	126	111	724	1019	1996
Gm11426	0	0	0	0	2217
Gpam	227	235	1472	1688	3807
Trmt1	1039	923	3990	5694	2169
Trim30a	11	10	51	50	3762
Pink1	1248	1643	6579	7633	2358
Hipk3	3521	3881	23641	26374	7480
Med9	927	787	3307	3663	3011
Snx7	266	244	1429	1590	2162
Prc1	1272	1277	6656	8044	2997
Taf4a	538	525	3095	3718	4407
Ccdc138	34	50	236	345	2450
Ctxn1	563	537	2678	3422	1224
Mir467a-1_2	0	0	0	0	72
