gene	lv1	lv2	rv1	rv2	genelength
Actl7a	0	0	0	3	1503
Armc3	0	0	5	11	2975
Pcsk9	6	10	35	33	3500
Usp34	1471	1678	8362	11021	12120
1700008A04Rik	0	0	0	0	602
Flg2	0	0	0	0	7668
Heatr7a	1095	1095	6021	8263	6938
Vmn1r57	0	0	0	0	932
Mir3066	0	0	0	0	82
Nkx6-2	478	465	1765	1871	1903
Tulp1	40	26	171	180	1993
Plcb2	42	42	150	220	5113
Klk4	1	0	0	1	1231
Gxylt2	25	23	73	84	1819
Eno3	3692	3431	21777	22822	1507
Olfr943	0	0	0	0	1076
Fermt2	3666	3978	15795	19089	3228
Htr3a	1	1	7	10	2074
Ccdc129	0	0	0	0	3270
Celf2	1074	1342	7006	8817	9500
Mir691	0	0	0	0	77
Dlx1	9	3	26	57	2776
Rbm38	3730	3117	13802	14611	1770
Prodh2	2	1	5	9	1807
Mirlet7c-1	0	0	0	3	93
4930511E03Rik	0	0	0	0	2224
Pus7	420	331	2110	2921	3293
Smyd5	1039	882	3385	4620	2480
BC049715	0	0	2	3	1135
Rassf7	147	119	379	557	1519
Lcn10	0	0	0	0	1100
Eef1a2	1155	1550	33982	33316	2038
4930444F02Rik	0	0	0	1	2922
Defb34	0	0	0	0	244
Fjx1	127	99	568	679	2426
4930523O13Rik	0	0	0	0	1289
BC016423	479	509	2778	3699	8318
Ildr2	321	285	1037	1371	8250
B430010I23Rik	20	39	332	367	2346
Tmem189	451	405	2264	2441	1694
Olfr600	0	0	0	0	944
5930403L14Rik	462	384	2809	3274	5676
Zzef1	337	490	2420	3156	11095
Rgs6	72	64	454	619	2609
Mup7	0	0	0	0	1026
4933417E11Rik	0	0	0	3	1090
Atad3a	1306	1212	5896	7596	2403
Smarca5	591	542	3079	3471	4614
Rab40c	320	280	1386	1760	2459
Parp16	92	86	346	467	2476
Arpm1	0	0	2	1	1890
Prss29	0	0	0	3	1175
Gria2	1	2	111	96	7732
Nphs2	1	2	1	7	3100
Gm6498	1	1	5	7	1596
Gh	0	0	0	0	805
Pou1f1	0	0	0	0	870
Msto1	1070	963	4246	5353	1811
Pla2g6	463	460	2145	2819	3708
Hist1h2ac	10	3	30	50	2492
Gm5934	0	0	0	0	2580
Rnf40	1202	1160	7364	9507	4134
Hpcal1	250	275	762	837	1557
Snord8	0	0	1	2	98
2700070H01Rik	46	11	73	223	1743
Mon2	981	1090	5380	6782	9268
Gm15413	1	0	0	0	1931
Csf1r	41	54	765	618	3853
Cnga1	0	0	0	2	2729
Srf	3646	3477	19620	21956	4086
Olfr1157	0	0	0	0	1110
Tex2	783	868	3852	4441	4930
Mvp	170	210	1020	1253	2795
Cpsf2	1518	1481	6751	7885	5300
Cog4	884	803	4272	5041	2735
Hnrnph2	238	288	1754	2213	2360
Ero1l	424	452	1973	2682	4402
Vmn1r94_1	0	0	0	0	917
Serpini2	0	0	0	2	1401
Cyp2ab1	0	0	1	1	2726
Ank1	534	606	4484	5162	8571
Snord33	1	1	0	8	81
Wdr52	1	2	10	15	6548
Mtap9	228	220	1263	1553	6204
Dsg1b	0	0	0	0	3389
Iglon5	13	4	54	80	2559
Cno	119	125	670	653	1305
Ccdc59	864	714	2389	2966	1074
Ube3b	2178	2142	12350	15196	5163
Olfr414	0	0	0	0	954
Gm16701	0	0	0	0	933
Mir532	0	0	0	0	95
Lrrtm1	1	0	16	14	2519
Gm10069	28	9	173	245	4592
Slc5a6	134	139	494	731	3870
Rnf11	933	1079	5289	5881	2129
Zfp51	42	55	160	236	2593
Iapp	0	0	0	0	692
Zcchc16	11	25	48	62	3627
E130310I04Rik	66	71	177	281	3750
1500012F01Rik	568	432	2152	3376	733
Kifc5b	129	103	776	1036	2616
Myh13	2	3	13	12	5778
Mospd4	2	0	5	14	882
Akt1s1	1842	1663	10482	10039	1876
Mpl	65	77	198	289	2926
Tmem41b	113	118	367	441	3612
Gm4070	0	0	0	3	9032
Cypt3	0	0	0	0	664
Rbm26	772	775	3769	5390	4084
Bcl2a1b	0	0	1	0	762
Gucy2g	0	2	4	1	3868
Gm16796	10	10	31	55	3169
Glb1l	402	423	1971	3179	3434
Cops8	1141	1012	5534	6487	1835
Krt6a	0	0	0	0	2249
Plekhg4	11	9	74	123	4146
Abcb1a	6	10	23	229	4949
Klrc3	0	0	0	0	661
Aspscr1	1010	827	4393	5154	1854
Gm711	0	4	10	22	2150
E330033L03	0	1	0	3	2794
Tshz1	897	1030	5576	6355	5812
Mir599	0	0	0	0	87
Gm10488_5	0	0	0	0	865
Rpl23	1340	1176	4287	5495	1057
Cd55	17	22	151	157	2516
Clec10a	0	0	4	3	1491
LOC100040031_2	0	0	0	0	1220
Mfap1b	45	29	107	110	1880
Dennd4a	207	268	1106	1541	8620
Gmppa	773	697	3039	4342	1515
Cspg4	1270	1666	10761	11846	8040
Sdf2l1	831	472	2128	2471	1105
Dkk3	2227	1996	4538	6072	3349
Agbl2	28	34	123	211	3444
Olfr1090	0	0	0	0	941
Ndst4	20	30	117	182	3475
Fubp3	707	658	3773	4803	3722
Ppy	1	2	1	4	476
Olfr690	0	0	0	0	1061
Fndc8	1	4	18	32	2077
Pilrb1	1	4	18	23	1015
Ifna2	0	0	0	0	572
Wiz	1196	1210	6154	7864	4662
Pwp1	542	518	2353	2809	2564
Gm10791	12	13	48	112	1650
Gm11559	0	0	0	0	1095
Cnnm1	7	10	29	53	5029
Dnajc8	1483	1214	5211	6021	1383
Rasl11a	31	26	106	118	1122
Thtpa	341	323	1670	2184	2837
Olfr484	0	0	0	0	965
Erbb4	226	228	1961	2413	4230
Sphkap	676	742	3680	5769	6501
Pitrm1	1635	1868	7642	9503	3507
Adam11	521	636	3141	4057	5076
Pom121l2	0	0	3	1	4969
Aoc2	17	30	236	431	2531
Olfr843	0	0	0	0	1106
4930433I11Rik	0	0	0	0	2020
Olfr137	0	0	0	0	938
Sepn1	2088	2056	9003	10628	3433
Vmn2r79	0	0	0	0	2550
Olfr212	0	0	0	0	2670
Tnip1	1373	1261	4457	5215	2921
Gabrg2	2	0	0	0	3884
Sntg1	0	0	0	1	4172
Mipep	651	688	3061	2970	3561
F5	48	56	191	359	7381
Slc2a8	272	253	1113	1459	2073
Fam55c	107	81	385	496	6430
2810013P06Rik	139	164	762	1040	2027
Gm5647	0	0	0	0	890
Dpysl4	31	17	91	153	2625
Nolc1	1790	1553	7633	9384	3623
Mir199a-1	0	0	0	0	69
Serpina3m	0	0	0	1	1654
Tmem14c	942	807	4178	4291	946
1700011B04Rik	0	0	0	0	645
Gm6696	0	0	0	0	283
Dctn1	2590	2460	15983	18985	4475
Olfr1355	0	0	0	0	1146
Paip2b	267	232	1541	2035	3319
Atad2	798	756	4591	5936	5655
Dusp2	155	136	989	1182	1614
Dnase1l2	12	19	101	203	1228
Ctnnd2	102	56	342	384	5923
1700029I15Rik	9	6	23	35	361
Gm2115	5	1	18	20	1860
B3gnt9-ps	211	215	731	905	2324
Lonrf1	123	124	760	879	3918
Ear6	1	0	0	2	710
Olfr1133	0	0	0	0	941
Pllp	0	0	9	29	1885
Map6d1	46	63	194	328	3271
Ccdc158	12	10	45	66	3611
Trim40	0	0	0	0	2191
H1foo	0	0	1	6	1109
Mn1	284	298	2746	2805	6126
1700086L19Rik	0	0	6	15	1041
Ddx1	1710	1725	6583	8062	2443
Mir222	0	0	0	0	78
Vav1	13	12	86	93	4141
Arhgap17	989	1115	4541	4972	3562
2310043L19Rik	0	0	0	0	695
Rrm2b	107	188	797	930	4503
4933409K07Rik_2	0	0	0	0	4546
Fgf12	10	2	20	29	3280
Abca5	51	72	426	571	8230
Fibp	474	469	2166	2897	1230
Utp18	445	370	1893	2157	2599
Zfp953	19	30	81	84	4637
Pmp2	1	0	0	0	1360
Msi2	1672	2086	9092	11380	6476
Gm15315	0	0	0	0	374
Gm11818	44	31	186	229	1496
Dos	589	498	1934	2364	3283
Atoh8	386	251	1474	1597	2351
I730028E13Rik	0	0	0	0	1956
Cd2bp2	1069	1027	5387	7176	3277
E430025E21Rik	937	888	3950	4519	3989
Rhpn2	165	186	659	915	3424
Fbxw8	2212	2136	8886	9983	4967
Uqcrq	6404	4956	21441	23481	497
2610020C07Rik	102	73	263	410	2153
Clcn4-2	625	743	3590	4184	4565
Vps25	1338	1296	4284	5342	1061
2810408I11Rik	99	88	106	160	711
1110028C15Rik	104	129	625	837	4745
Dync1li1	857	1071	5869	6031	2022
Eif3f	5250	5079	18260	21301	1499
Nap1l1	2552	2679	9110	12144	4079
1700028M03Rik	0	0	0	0	463
Sgsm2	522	514	2558	3263	4737
Lrrc16b	134	130	1048	1593	4558
Fam92b	3	3	7	7	1181
Khdrbs1	2284	2051	11089	12416	4768
4833419F23Rik	21	26	34	52	877
Gpx2-ps1	1	0	1	2	1017
Mir669m-2	0	0	0	0	97
Gpr84	1	2	12	11	1549
Fetub	1	2	3	2	1775
Gadd45gip1	1590	1363	5186	5529	1732
Kcnab3	24	28	126	187	2523
Grpel1	1638	1313	6204	6711	3334
5031425F14Rik	5	10	7	16	1633
Olfr885	0	0	0	0	929
Mir669a-12_2	0	0	0	0	86
Tctn1	70	79	432	541	2036
Bpifb9b	0	0	0	0	2031
Eea1	670	676	4331	5751	7807
Mpp7	156	139	609	916	5298
Rbmxl2	0	1	1	2	1471
AI607873	0	0	22	5	3475
Vmn2r19	0	0	0	0	2559
Olfr1275	0	0	0	0	938
Gabra6	0	0	0	0	2459
Tpst2	392	372	1942	1945	1807
Slc8a3	7	20	58	76	5059
Trappc10	638	615	3533	4498	5024
Lyn	316	326	1377	1482	3443
Fbxl12	434	327	1609	2191	2657
Fam176a	25	30	215	145	1765
2810025M15Rik	850	655	1969	2248	1191
Vmn1r228	0	0	0	0	1442
Senp2	617	638	2889	4033	4549
Zmym6	176	230	995	2025	4119
Fbxw18	0	3	0	2	1509
Plekha8	432	534	2497	3380	6973
Pum1	1691	1915	8510	10935	5329
Cul2	646	678	2748	3465	4137
Mgat5	93	118	862	1061	3086
Cast	486	511	2519	3515	2863
Gm4532	54	58	328	650	712
9530053A07Rik	6	2	4	5	7902
Galnt14	16	11	94	140	2452
Kdm6a	605	723	2733	3466	5236
1700030F04Rik	0	0	0	0	414
Defb1	0	0	0	17	914
Gm20139	0	2	6	13	6216
Gm13276	0	0	0	0	1461
Mir684-1_3	0	0	0	0	84
Macrod1	207	270	2055	1864	1264
7420426K07Rik	0	0	0	2	1503
Mtmr1	187	245	1064	1496	4619
Gm590	0	0	0	0	496
Coq3	286	277	1119	1196	2606
Pcdh15	1	2	17	9	15947
Kbtbd12	102	97	453	593	1983
Abcb1b	17	18	72	2900	4316
Rnd3	537	598	3188	4036	2822
Rfx7	452	563	3062	3756	7991
Slc15a4	322	273	1383	1455	2698
Bace2	503	589	2463	2235	3727
Gm11351	0	0	0	0	578
A630073D07Rik	0	0	0	0	481
Exoc8	384	360	2420	2634	7406
Ssna1	1105	783	3355	3362	861
Kdm4c	193	243	1189	1575	4378
Zmynd19	213	143	990	1216	1225
Scarna2	0	0	3	7	60
Git1	2401	2271	12048	14041	3630
Acsl6	3	3	16	33	3050
Zswim6	242	224	886	1109	5444
Ubqlnl	0	0	0	0	2297
Fbxl6	416	436	2062	3272	1705
Pigyl	353	240	1257	1284	689
Adprhl2	191	116	1143	1332	1362
Vps33b	170	176	878	1272	2545
Vmn1r112	0	0	0	0	893
Gpr137b-ps	58	48	268	372	2933
Bud13	317	315	1488	1756	2198
Olfr1104	0	0	0	0	932
Krr1	574	630	2859	3613	4980
1700006E09Rik	0	0	0	0	692
Ypel3	416	497	2320	3002	1048
Olfr727	0	0	0	0	1034
1700003M02Rik	1	0	5	4	1705
Myh8	0	1	59	66	6108
Cd300lf	0	1	4	9	1878
Aldh16a1	418	370	2376	2651	2550
Ifi204	0	1	21	4	2286
Ccdc64b	2	0	7	22	1912
Arpc2	7420	7026	20450	23690	1587
2210020M01Rik	53	40	267	259	937
Mir103-2	0	0	0	1	85
Olfr571	0	0	0	0	968
Spnb2	7460	10644	81136	103990	10983
Fam38b	16	24	598	578	10670
Adam34	0	0	0	0	2505
Rnf4	928	971	4891	6147	2928
Bloc1s1	845	698	2380	2545	546
Creg2	2	2	2	11	5795
Gbp3	4	5	30	74	2628
Birc5	1303	1163	6024	7602	3413
BC017158	324	317	1729	2276	2575
Vmn2r12	0	0	0	0	2490
Srms	0	1	16	9	2539
Car9	26	59	295	451	1948
Mettl7a1	90	77	451	585	1881
Dcaf15	1035	950	4577	5512	2299
Aff3	161	151	792	1085	5987
Gm14405	0	0	0	0	1696
Trcg1	0	0	2	10	2688
Rin3	688	723	3377	3584	3996
Dlg1	853	826	4686	6153	5535
Zfp454	37	51	145	217	2050
Olfr235	0	0	0	0	938
D430041D05Rik	2	1	25	16	10101
Fam20b	1381	1393	7387	8384	4230
Them4	196	184	477	478	1724
Hnrpdl	1630	1752	10653	15594	2742
Mir1962	0	0	0	0	120
Mir3094	0	0	0	0	63
Snora44	4	1	7	16	116
Vmn2r41	0	0	0	0	2553
Tbr1	0	5	9	9	3970
Gm597	0	0	0	0	2880
4930595M18Rik	0	0	0	0	2641
Adora2b	4	0	4	7	1842
Mllt3	1748	1722	4975	6384	6204
2010308F09Rik	0	0	1	0	697
Olfr705	0	0	0	0	950
Gm11166	0	0	0	0	1641
Aldh8a1	2	0	2	11	2236
Plch1	11	17	84	128	6252
Mir146	0	0	0	0	64
4930528F23Rik	1	1	0	1	1689
Spag6	0	1	6	7	2455
Zc3h12d	8	7	49	36	4087
Ear5	0	0	0	0	758
Ntn3	146	122	779	944	4890
1700045I19Rik	0	0	2	1	1189
AI846148	712	652	2689	3611	3612
Gm10486_7	0	0	0	0	915
Fam46c	72	82	1103	956	2027
Brsk1	492	416	2797	3628	3166
Olfr1263	0	0	0	0	920
Pabpc4	509	458	3219	3975	3005
Scarna17	1	0	33	60	61
Ptrh2	466	390	1362	1762	3130
9230114K14Rik	27	39	114	180	2114
Ak010878-moap1	345	358	1932	2379	3833
Cbx6	2076	2473	18767	20617	5444
Il28ra	8	13	72	132	4004
Gm8882	0	0	0	0	912
Styx	63	41	93	95	4247
Lin9	176	205	846	981	3362
Mad2l1	493	450	2106	2265	1720
Elovl6	771	685	2968	3952	5944
Zfp781	0	0	0	0	4063
Gm13285_4	0	0	0	0	548
Olfr1323	0	0	0	0	929
1810043G02Rik	348	298	1270	1406	1689
Ugt1a9	1	8	32	18	3211
Il1f6	0	0	0	6	877
Vmn2r-ps60	0	0	0	0	264
Galnt2	3632	3584	21513	22250	4094
Pdzk1	58	76	345	491	2453
Fam124a	22	21	181	255	3553
Olfr155	0	0	0	0	1171
1700028B04Rik	0	0	0	0	551
Aldh1l1	35	39	64	93	3061
Gimap6	402	336	1541	1710	1609
Olfr801	0	0	0	0	956
Vmn2r117	0	0	0	0	2568
Ssh3	68	90	513	823	2714
Olfr148	0	0	0	0	932
Olfr1099	0	0	0	0	938
Zfp219	1169	1180	7743	10303	3309
Xlr5b	0	0	0	0	1125
Acta1	7059	5006	25521	35991	1426
Zmynd10	5	1	27	57	1741
Krtap12-1	0	0	0	0	670
Defb3	0	0	0	0	320
Pira2	0	0	0	0	3454
Magohb	74	70	362	498	761
Icam4	35	20	75	87	904
Arntl2	1	2	14	39	1725
Mir345	0	0	0	1	95
Cdhr5	2	1	1	2	2614
Olfr514	0	0	0	0	932
Fam63b	296	395	1684	2059	8072
Rora	16	13	124	164	1633
Zfp160	157	195	809	1244	3790
Taar9	0	0	0	0	1046
Hoxa1	17	10	14	31	2472
Zmym1	221	252	952	1394	3824
Ilk	3034	2763	14569	18107	1865
Lyrm7	137	130	324	493	2175
Lce1a2	0	0	0	0	713
BC049762	1	4	7	10	880
Med10	448	394	1369	1574	858
Sugt1	1577	1371	4686	5379	1938
2310002J15Rik	0	0	1	1	779
Wdr81	315	331	1991	2434	6899
Fam19a5	64	42	277	484	3035
Cmtm5	1	1	7	29	885
Mir667	0	0	0	0	91
Zdhhc3	1098	1034	4039	5210	6980
Dleu2	18	9	78	117	1687
C1ra	1	3	3	6	2751
Dennd5b	296	408	2369	2898	9812
Cypt15	0	0	0	0	516
Crybg3	983	1025	5779	8235	6525
Olfr53	0	0	0	0	1160
Dlat	2083	2261	10385	12158	4021
Olfr1002	0	0	0	0	956
Eps8l3	13	22	104	157	2251
Rngtt	414	435	1867	2002	4137
Ldb1	2986	2928	15735	20306	2658
Eya1	43	38	71	105	4327
Cyp2j12	0	0	0	0	1935
Cd200	159	151	746	895	2341
Wnt9b	12	21	150	205	4515
H2-Eb2	0	0	0	0	3375
Gm5166	0	0	0	0	882
D330012F22Rik	115	100	494	567	3518
Kirrel	1482	1480	6872	8855	7271
Adamts9	798	755	4611	5914	6006
Zfp462	828	1017	5423	6708	10483
Tmem206	869	764	3749	4730	4196
2610316D01Rik	0	0	2	0	913
Rpl23a	1	1	1	5	555
Eif2c3	55	98	574	775	7616
Mycl1	18	8	23	38	3494
Aldh7a1	1062	1050	4599	5682	3179
Cd24a	626	618	2114	3126	1814
Olfr346	0	0	0	0	929
Ttc24	0	0	0	0	2241
LOC668917	2	4	20	28	1076
4930548J01Rik	0	0	0	0	728
Casz1	1922	2337	17189	19803	8479
Olfr99	0	0	1	0	917
Mtx1	673	570	2119	2790	1514
Gm5617	170	116	585	621	627
Plac1l	0	0	0	0	669
Cdc42ep1	1105	1006	4041	4522	2539
Vmn1r193	0	0	0	0	959
Rfc2	1451	1256	5328	6713	1507
Gm11428	0	0	0	0	466
V1rg10	0	0	0	0	1010
Gm3336	1	0	0	4	1148
Snrpe	522	385	1087	1500	487
Olfr551	0	0	0	0	1078
Orm3	0	0	0	2	767
Zfp593	265	221	896	969	1973
Pskh1	549	616	2951	3780	3243
5430421F17Rik	0	0	0	0	2292
2610019F03Rik	69	52	195	206	2460
Lgals12	1	1	8	30	2746
Vmn2r99	0	0	0	0	2565
2310061I04Rik	626	718	2416	3017	1234
Sh3bp5l	459	463	2944	3743	3015
4930526L06Rik	0	0	0	0	1017
Esf1	843	824	2925	3753	3378
6820431F20Rik	4	3	17	41	4654
Tchp	248	283	1425	2106	2850
Gm16197	73	59	283	414	2954
Map3k2	174	215	1224	1817	10774
Lrp2	54	57	455	533	15388
Smcr7	301	307	1266	1667	2518
Samsn1	10	8	43	63	1837
Gnpnat1	138	84	410	538	2530
Zp2	0	1	0	0	2182
Smarce1	829	819	3102	3497	2907
Prdm15	211	230	1113	1752	6322
Xpo1	1874	2031	9424	13219	5118
Defb37	0	0	1	0	350
Slfn5	33	64	435	570	5983
Mkl2	454	577	2845	3762	8967
Gm8234	1	1	15	12	1999
Wdr35	254	289	1562	2226	4364
Slc6a4	13	23	244	217	2733
Snora36b	0	0	0	0	112
Limd2	1341	1046	3934	4554	2945
Zfhx4	32	53	172	247	13863
Tspy-ps	0	0	0	0	317
Epm2aip1	792	984	4991	6936	7246
Otc	0	0	0	0	2255
Olfr325	0	0	0	0	1040
Tbx15	1	4	5	10	3559
G0s2	122	124	1115	1172	841
Tmem88	1375	1073	3509	3656	1583
Snx9	471	427	2506	2945	2019
1110038D17Rik	701	626	3738	4764	2904
Pdpr	194	272	1689	2117	2886
Gm4301	0	0	0	0	913
Trip13	605	552	2858	3145	2254
Nme1	4219	3275	13243	14508	1230
Chrac1	536	423	2373	2557	848
Abcg2	720	671	2643	3379	2475
Itih2	2	8	13	19	3101
Stradb	313	333	1008	1255	2305
Hrh4	0	0	0	0	1534
Slc25a11	2014	1840	7200	8250	1853
Lmbrd2	113	136	790	921	3028
Fam131c	12	8	50	44	1426
Srsf6	4276	4393	21964	34660	3540
Efcab4a	128	125	831	876	1677
Mir369	0	0	0	0	78
Gm10394	0	0	1	0	2339
Pah	0	4	52	34	2130
Gm12070	1	1	0	0	1644
Dapl1	0	0	4	6	570
A3galt2	1	1	9	9	3385
Mrps12	1077	806	3468	3925	681
Tor1aip2	966	1069	5299	6122	8102
Gm11985	0	0	0	1	999
Gm829	0	0	3	0	1087
Ptpn22	18	24	96	145	2707
Inf2	560	565	2987	3970	4578
Cenpe	999	918	5410	7421	7767
Mir5123	0	0	0	0	82
Plac8	23	11	32	55	691
Rnf145	1142	1107	5762	6934	7008
Hdgfl1	0	0	1	1	1993
Derl1	586	515	3009	3181	3137
3110003A17Rik	1567	1178	2842	3588	806
Tmem81	8	20	57	77	1740
Plcg2	357	337	2179	2473	4265
Anks1	417	446	2686	3205	5621
C130026L21Rik	0	0	13	20	1834
Mrpl35	593	541	1896	2413	3691
Mrpl11	1393	1063	3535	4301	2877
Ap1ar	471	529	2928	3600	2380
Nov	10	10	116	68	2360
Zfp846	109	113	406	555	2749
Olfr596	0	0	0	0	938
Olfr522	0	0	0	0	938
1700084C01Rik	1	0	0	0	1436
Fus	3977	3973	18323	22602	1829
Dynlt1c_2	0	0	0	0	688
Pcdha11	15	4	55	121	5250
Tbx3	177	118	566	755	5074
AI747448	0	0	0	0	2983
Nupl2	102	110	640	797	2902
Wtip	725	549	3751	4347	1949
Vwde	1	0	0	0	3967
AI427809	0	0	15	3	2274
Olfr782	0	0	0	0	944
Olfr612	0	0	0	0	971
Erp29	2359	2125	12206	12959	1240
Rpl14	4600	3565	9366	10862	929
Ppm1j	672	649	2514	3336	1710
Gm13582	1	1	12	18	2651
4930505G20Rik	0	0	0	0	557
Tnfaip6	9	6	23	41	1595
Hsdl1	757	746	3080	3458	3164
Slc16a12	521	612	3275	3822	3863
1700018L24Rik	3	0	2	3	768
Clcn5	442	519	3559	4109	4338
Mbd3	3708	3272	13020	14589	1582
A330040F15Rik	2	0	18	31	1104
Mfap2	893	1018	4898	4816	1129
Gm3925	1	0	0	2	634
Zim1	496	628	3940	5841	3493
Epn1	3509	3201	14238	16035	2553
Trappc6a	892	776	2743	3201	762
Rgs19	542	438	1915	2288	1451
Rap1gap	159	116	595	976	3372
Ly6c1	9	7	7	10	1639
Nynrin	2500	2612	15291	18045	7405
Aqp9	0	0	0	3	2638
Tial1	1094	1103	5327	8246	4280
Prr11	380	406	1524	2109	3817
Tmem35	40	37	433	326	1916
Zfp930	150	147	528	641	2992
Cxxc4	221	268	1104	1449	5614
Cela1	9	3	12	19	1098
Slco3a1	1030	1053	4951	6273	5357
Fgf7	31	26	29	27	2668
Dpep2	5	1	9	16	1754
4932441J04Rik	9	4	20	35	721
Aqp4	79	67	1812	1695	5077
Sox18	373	304	2296	1555	1617
Abcb5	0	0	3	0	3848
Wdr19	104	124	780	1120	4366
Trank1	13	3	43	52	10498
Mageb18	0	0	0	0	2155
Il20	0	1	0	0	819
Mir433	0	0	3	5	123
Krt82	0	0	0	0	2082
Gm7977	0	0	0	0	747
Gjb3	20	3	2	8	1919
Rchy1	243	225	1239	1574	1958
Slc39a1	714	744	2972	3446	2340
Tbx4	4	3	21	21	3248
Rbm5	1765	1951	11195	17478	3062
4930527G23Rik	0	0	0	0	577
Tbcb	1629	1364	4410	5202	1167
Vegfb	3634	3226	18462	19865	1275
1700001D01Rik	0	0	0	1	560
Snord99	0	0	2	4	55
Gm4305_1	0	0	0	0	909
Hexim1	537	546	4222	4370	3399
Fes	228	280	1319	1756	2743
Tceal5	153	147	968	1131	1013
Hmbs	771	608	3496	3869	1742
Fzd7	129	99	662	785	4808
1700007L15Rik	41	26	87	110	745
Bcl2	296	301	2519	3028	7736
Dlk2	18	13	28	22	1526
Rab6a	1713	1679	6543	7556	3311
Fezf2	0	0	2	3	2299
Mrps28	676	493	2515	2529	719
Rasl10b	1234	1175	4431	5435	3477
Ppp1r17	153	72	561	1047	1733
Gm14474	0	0	0	0	489
Cpxcr1	0	0	0	0	1593
Tmem87a	335	319	1567	2152	2977
Sox2ot	2	1	0	4	2965
Gm11569	0	0	0	0	867
Tmem117	17	26	71	98	2773
Ttc8	138	150	908	1056	2293
Oaz1	2491	2124	3117	3841	1070
S100a7a	0	0	0	0	738
Gm6644	31	22	57	68	1342
Adnp2	502	540	2824	3609	4184
Tmprss11a	0	0	0	0	2648
Cars2	328	285	1545	1870	1835
Smpd1	873	961	4236	4650	2406
Robo1	460	428	5863	6720	7539
Csf3r	1	3	14	16	4030
Olfr933	0	0	0	0	926
Matn4	11	7	130	130	2559
Teddm1	0	0	0	3	1414
Tas1r2	1	0	2	0	3040
Gm6432	0	0	0	0	780
V1rd18	0	0	0	0	1156
Vmn2r52	0	0	0	0	2553
Fam3a	426	371	1239	1668	1756
Gpr15	0	0	0	4	1289
Ncdn	1057	927	4671	5452	3694
Tspan32	63	48	119	209	1817
Klri2	0	0	0	0	3907
Kif6	18	14	37	85	3505
Steap1	13	8	35	43	1211
Foxi2	0	1	1	0	2589
Nras	1410	1411	5833	7556	4463
Trim50	0	0	0	0	1446
Gm19402	0	0	0	0	800
Cldn3	45	13	46	169	1262
Prss53	156	143	530	729	2520
Hells	721	644	2905	3635	2997
4932412D23Rik	0	0	0	4	4814
Plxdc1	0	0	2	2	2891
Moxd1	6	10	83	145	3071
Olfr828	0	0	0	0	938
2810459M11Rik	8	6	33	144	3328
Tjp2	1499	1661	7997	9475	4774
Gm4133	0	0	0	0	923
Ces3a	0	0	0	0	2036
Zfp692	214	210	1187	2263	1937
Psmb1	2840	2332	10585	11938	1030
Olfr366	0	0	0	0	929
Synpr	4	2	4	5	2939
Rundc3b	9	6	51	79	3665
Dnajb5	761	930	3620	4706	2306
Gm13308	0	0	0	0	408
Slc17a9	18	16	38	125	2184
Tmem211	3	2	7	14	1822
Hspb9	0	1	6	29	725
4930455C21Rik	625	530	3147	3911	2070
Gfra1	11	6	128	165	3214
1700039E22Rik	0	0	0	0	767
Pom121	2362	2398	11645	13969	5568
Atg16l1	324	347	1944	2717	3161
2410137M14Rik	0	1	2	4	861
Macc1	6	0	5	4	3812
Dok1	219	178	760	910	1800
P4ha3	181	194	1079	1234	2348
Aox4	7	3	19	17	4937
Gm17821	0	1	2	0	12529
Twf2	647	601	2103	2736	1585
Gtf2a1l	0	2	3	5	1610
Gm4884	0	0	0	0	2849
Loxl3	727	544	2316	2968	4035
Tnks	762	888	5417	6724	6417
Eif4b	3857	4142	24420	30291	3839
4833439L19Rik	644	660	3372	4487	2665
Olfr1307	0	0	0	0	938
Gchfr	138	92	353	386	626
Olfr891	0	0	0	0	950
Rergl	0	0	0	0	677
Nos1ap	191	163	884	1151	3673
Rasgrp4	207	190	646	1031	4613
Zbtb8b	116	133	565	798	3284
Ankrd7	0	1	0	0	1185
Cenpw	157	130	512	542	1509
4933428C19Rik	0	0	0	0	811
Shisa5	943	979	2973	3322	1924
Abcc5	586	760	4962	8895	6164
2410004N09Rik	213	119	368	472	430
Mir3475	0	0	0	0	64
Wdr59	264	263	1201	1619	5194
Tox	63	69	876	997	2843
Olfr1168	0	0	0	0	938
Heatr7b2	0	0	0	0	5188
Klk1b1	0	0	0	0	842
Tatdn3	168	145	531	808	1244
Mir1843b	0	0	0	4	65
Rnps1	569	619	4411	5405	1913
Mll3	399	591	3863	4738	16761
Arhgef19	30	29	140	131	3380
Bcl11b	146	197	1816	1982	7919
Ado	962	910	4814	5102	4444
D14Abb1e	297	330	2457	3553	7552
Psmd7	2949	2367	11667	12183	1593
Trdn	1463	1964	6426	7647	4476
Ephx2	117	169	759	844	2016
Art4	190	235	401	517	2381
D430019H16Rik	70	68	440	631	5784
Mark4	912	1011	5547	6359	2242
Cad	1636	1563	8558	9302	7062
Fam108b	367	296	1224	1432	2471
Suv39h2	354	327	1248	1707	4276
Sik2	224	236	1285	1756	3536
Mlkl	10	13	130	140	1691
Actb	21225	19102	101559	108542	1883
Thbs1	483	504	5609	5874	5780
Eno1	530	454	2123	2426	1764
Muc19	0	0	0	0	9061
Fank1	2	5	18	18	1963
Actr2	1037	905	5031	6372	3660
Egr4	1	4	2	5	2098
